year,lat,lon,temperature_c,scenario,temperature_f,anomaly_c,anomaly_f
1850,34.3979057591623,241.25,18.37884,historical,65.08191,-0.5043144,-0.907766
1851,34.3979057591623,241.25,18.054352,historical,64.49783,-0.8288021,-1.4918438
1852,34.3979057591623,241.25,19.31961,historical,66.7753,0.43645668,0.785622
1853,34.3979057591623,241.25,18.589424,historical,65.46096,-0.29372978,-0.5287136
1854,34.3979057591623,241.25,18.40629,historical,65.131325,-0.47686386,-0.8583549
1855,34.3979057591623,241.25,18.537928,historical,65.36827,-0.3452263,-0.62140733
1856,34.3979057591623,241.25,19.448586,historical,67.007454,0.5654316,1.0177768
1857,34.3979057591623,241.25,19.602888,historical,67.2852,0.7197342,1.2955215
1858,34.3979057591623,241.25,18.587889,historical,65.4582,-0.2952652,-0.53147733
1859,34.3979057591623,241.25,19.142038,historical,66.45567,0.25888443,0.46599197
1860,34.3979057591623,241.25,19.310614,historical,66.7591,0.42745972,0.7694275
1861,34.3979057591623,241.25,18.28802,historical,64.918434,-0.59513474,-1.0712426
1862,34.3979057591623,241.25,18.500525,historical,65.30094,-0.3826294,-0.6887329
1863,34.3979057591623,241.25,19.333899,historical,66.80102,0.45074463,0.81134033
1864,34.3979057591623,241.25,19.29519,historical,66.731346,0.4120369,0.74166644
1865,34.3979057591623,241.25,18.310286,historical,64.95851,-0.57286835,-1.031163
1866,34.3979057591623,241.25,18.891302,historical,66.00434,0.008148193,0.014666748
1867,34.3979057591623,241.25,19.666122,historical,67.39902,0.7829685,1.4093434
1868,34.3979057591623,241.25,18.13291,historical,64.63924,-0.75024414,-1.3504394
1869,34.3979057591623,241.25,19.214218,historical,66.585594,0.33106422,0.5959156
1870,34.3979057591623,241.25,18.51927,historical,65.33469,-0.36388397,-0.65499115
1871,34.3979057591623,241.25,18.558641,historical,65.405556,-0.32451248,-0.5841225
1872,34.3979057591623,241.25,18.847235,historical,65.92502,-0.03591919,-0.064654544
1873,34.3979057591623,241.25,19.531923,historical,67.15746,0.6487694,1.1677849
1874,34.3979057591623,241.25,19.207064,historical,66.572716,0.32390976,0.58303756
1875,34.3979057591623,241.25,19.466955,historical,67.04052,0.58380127,1.0508423
1876,34.3979057591623,241.25,19.467878,historical,67.04218,0.5847244,1.052504
1877,34.3979057591623,241.25,18.040064,historical,64.472115,-0.84309006,-1.5175622
1878,34.3979057591623,241.25,18.560518,historical,65.408936,-0.32263565,-0.58074415
1879,34.3979057591623,241.25,19.207466,historical,66.57344,0.3243122,0.583762
1880,34.3979057591623,241.25,18.548693,historical,65.38765,-0.3344612,-0.60203016
1881,34.3979057591623,241.25,20.91443,historical,69.64597,2.0312767,3.6562982
1882,34.3979057591623,241.25,20.32377,historical,68.58279,1.4406166,2.5931098
1883,34.3979057591623,241.25,18.83011,historical,65.894196,-0.053043365,-0.09547806
1884,34.3979057591623,241.25,19.096064,historical,66.37292,0.2129097,0.38323745
1885,34.3979057591623,241.25,19.377098,historical,66.87878,0.49394417,0.8890995
1886,34.3979057591623,241.25,18.168196,historical,64.70275,-0.7149582,-1.2869247
1887,34.3979057591623,241.25,19.052948,historical,66.2953,0.16979408,0.30562934
1888,34.3979057591623,241.25,18.852625,historical,65.93472,-0.030529022,-0.05495224
1889,34.3979057591623,241.25,19.74708,historical,67.54475,0.86392593,1.5550667
1890,34.3979057591623,241.25,18.169182,historical,64.70453,-0.7139721,-1.2851498
1891,34.3979057591623,241.25,19.071161,historical,66.328094,0.18800735,0.33841324
1892,34.3979057591623,241.25,19.365059,historical,66.8571,0.48190498,0.86742896
1893,34.3979057591623,241.25,18.270409,historical,64.886734,-0.6127453,-1.1029415
1894,34.3979057591623,241.25,18.537056,historical,65.3667,-0.34609795,-0.6229763
1895,34.3979057591623,241.25,18.521818,historical,65.33927,-0.36133575,-0.65040433
1896,34.3979057591623,241.25,18.820929,historical,65.87767,-0.06222534,-0.112005614
1897,34.3979057591623,241.25,18.341698,historical,65.01506,-0.5414562,-0.9746212
1898,34.3979057591623,241.25,19.036652,historical,66.265976,0.1534977,0.27629584
1899,34.3979057591623,241.25,18.412636,historical,65.142746,-0.4705181,-0.8469326
1900,34.3979057591623,241.25,18.945417,historical,66.10175,0.06226349,0.11207428
1901,34.3979057591623,241.25,18.989265,historical,66.18068,0.10611153,0.19100074
1902,34.3979057591623,241.25,18.285873,historical,64.91457,-0.5972805,-1.075105
1903,34.3979057591623,241.25,18.306559,historical,64.951805,-0.5765953,-1.0378716
1904,34.3979057591623,241.25,18.587473,historical,65.45745,-0.295681,-0.5322258
1905,34.3979057591623,241.25,17.816734,historical,64.07012,-1.0664196,-1.9195553
1906,34.3979057591623,241.25,18.513094,historical,65.32357,-0.37005997,-0.66610795
1907,34.3979057591623,241.25,18.401388,historical,65.1225,-0.48176575,-0.8671783
1908,34.3979057591623,241.25,18.280487,historical,64.90488,-0.60266685,-1.0848004
1909,34.3979057591623,241.25,18.91288,historical,66.04318,0.029726028,0.05350685
1910,34.3979057591623,241.25,19.000977,historical,66.20176,0.11782265,0.21208076
1911,34.3979057591623,241.25,18.030478,historical,64.45486,-0.8526764,-1.5348175
1912,34.3979057591623,241.25,19.210869,historical,66.57957,0.32771492,0.58988684
1913,34.3979057591623,241.25,18.583597,historical,65.45048,-0.29955673,-0.5392021
1914,34.3979057591623,241.25,18.44723,historical,65.20502,-0.43592453,-0.78466415
1915,34.3979057591623,241.25,18.389025,historical,65.10024,-0.49412918,-0.88943255
1916,34.3979057591623,241.25,18.593203,historical,65.467766,-0.28995132,-0.5219124
1917,34.3979057591623,241.25,18.69768,historical,65.65582,-0.1854744,-0.3338539
1918,34.3979057591623,241.25,19.178331,historical,66.520996,0.29517746,0.53131944
1919,34.3979057591623,241.25,19.580675,historical,67.24522,0.6975212,1.2555382
1920,34.3979057591623,241.25,18.344698,historical,65.020454,-0.53845596,-0.96922076
1921,34.3979057591623,241.25,18.855507,historical,65.93991,-0.027647018,-0.049764633
1922,34.3979057591623,241.25,18.175264,historical,64.71548,-0.70788956,-1.2742012
1923,34.3979057591623,241.25,18.584923,historical,65.452866,-0.29823112,-0.536816
1924,34.3979057591623,241.25,18.58887,historical,65.45996,-0.29428482,-0.5297127
